Equipment Code,Code SH,Description,Quantity,Stock Code
E-501,495000600.0,"JOINT METALLOPLASTIQUE Dia.Ext.:21 1/8"",Dia.Int.:20 3/8"",Ep.:1/8,Mat.:",1.0,55Q20
E-501,495000200.0,"JOINT METALLOPLASTIQUE                             Dia.Ext.:23.3/8"",Dia.Int.:22.5/8"",Ep.:1/8"",Mat.:",1.0,55R30
E-501,342500034.0,"TIGE CYLINDRIQUE,TOTALEMENT FILETEE AVEC 2 ECROUS HEXAG Dia.:3/4""-10 UNC,Long.:7.1/2"",Mat.:SA-193 B7",28.0,73H10/20
E-501,342500032.0,"TIGE CYLINDRIQUE,TOTALEMENT FILETEE AVEC 2 ECROUS HEXAG   Dia.:3/4""-10 UNC,Long.:7"",Mat.:SA-193 B7",20.0,
E-501,342500028.0,"TIGE CYLINDRIQUE,TOTALEMENT FILETEE AVEC 2 ECROUS HEXAG   Dia:3/4""-10UNC,Long:5.1/4"",Mat.:SA-193B7",28.0,
E-501,771230080.0,"JOINT PLAT A FACE SURELEVEE   Dia.Nom.:6"", Ep.:1/16"", Serie:150#, Mat.:Non Amiante",1.0,26P31
E-501,493060136.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE
Dia.Nom.:10"",Serie:150 #, API601,  Mat.316L/Graphité",1.0,
E-501,493060132.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE
Dia.Nom.:6"",Serie:150 #, ASME- B16.20,Mat.:316L/Graphité",1.0,
E-501,771230082.0,"JOINT PLAT A FACE SURELEVEE   Dia.Nom.:10"", Ep.:1/16"", Serie:150#, Mat.:Non Amiante",1.0,27R41
E-501,771287323.0,"JOINT AVEC BARRE LARGEUR 7/16"", 1""9/16 ENTRE AXE Dia.Ext:23.3/8"",Dia.Int:21.5/8"",Ep.:1/8"",Mat:NON-",2.0,54Q40
E-501,777870143.0,"JOINT PLAT, Type : F.F (FACE PLEINE) Dia.Nom.:2"", Ep.:3/16"",Serie:150#, Mat.:J.M 104(Néoprene)",1.0,26V35
E-501,777870149.0,"JOINT PLAT A FACE PLEINE (F.F) Dia.Nom:8"",Ep:3/16"",Serie:150#,Mat:J.M104(Néopréne)",2.0,28S31
E-501,495000202.0,"JOINT METALLOPLASTIQUE                             Dia.Ext.:26.3/8"",Dia.Int.:25.3/8"",Ep.:1/8"",Mat.:",1.0,55S20
E-501,,,,
E502,398500115.0,"BOUCHON DE TUBE (FORME CONIQUE)  Dia.: 3/4""-16 BWG , Mat.: Acier Inox TP-316",1.0,LC6I33
E502,342500099.0,"TIGE CYLINDRIQUE,TOTALEMENT FILETEE AVEC 2 ECROUS HEXAG Dia.:3/4""- 10 UNC,Long.:10"",Mat.:SA-193 B7",48.0,
E502,493060126.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:3"",Serie:150 #, Mat.:Inox.316/Grapité",1.0,30O43
E502,495000415.0,"JOINT METALLOPLASTIQUE AVEC BARRE 9/16""  Dia.Ext:48.1/2"",Dia.Int:47.1/2"",Ep.:1/8"",Mat:Acier",1.0,G3F30
E502,495000207.0,"JOINT METALLOPLASTIQUE Dia.Ext.:48.1/2"",Dia.Int.:47.1/2"",Ep.:1/8"",Mat.:",1.0,G3B21
E502,493060142.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:12"",Serie:150#,API601, Mat.:316/Graphité",1.0,50O20/40
E502,493060136.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:10"",Serie:150 #, API601,  Mat.316L/Graphité",1.0,30T40
E502,493060134.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:8"",Serie:150 #, ASME- B16.20,Mat.:316 L/Graphité",2.0,30U40
E502,,,,
E503A,342500096.0,"TIGE CYLINDRIQUE,TOTALEMENT FILETEE AVEC 2 ECROUS HEXAG Dia.:3/4""- 10 UNC,Long.:6.1/4"",Mat.:SA-193B7",28.0,73H41
E503A,495000214.0,"JOINT METALLOPLASTIQUE                           Dia.Ext.:26 1/4"",Dia.Int.:25 1/4"",Ep.:1/8"",Mat.:In",1.0,55Q30
E503A,495000213.0,"JOINT METALLOPLASTIQUE AVEC BARRE CENTRALE 7/16"" Dia.Ext.:26 1/4"",Dia.Int.:25 1/4"",Ep.:1/8"",Mat.:In",2.0,55U40
E503A,495000210.0,"JOINT METALLOPLASTIQUE Dia.Ext.:22 7/8"",Dia.Int.:22 1/8"",Ep.:1/8"",Mat.:",1.0,55O40
E503A,495000203.0,"JOINT METALLOPLASTIQUE,                            Dia.Ext.:29.1/2"",Dia.Int.:28.1/2"",Ep.:1/8""",1.0,55T30
E503A,493062509.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE              Dia.Nom:4"",Serie:400#,ASME-B16.20,Mat.:316/Graphi",2.0,31Q21
E503A,493060132.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:6"",Serie:150 #, ASME- B16.20,Mat.:316L/Graphité",2.0,30S41
E503A,398500115.0,"BOUCHON DE TUBE (FORME CONIQUE)  Dia.: 3/4""-16 BWG , Mat.: Acier Inox TP-316",10.0,LC6I33
E503A,342501003.0,"TIGE TOTALEMENT FILETEE AVEC 2 ECROUS HEXAG Dia.:1""- 8 UNC,Long.:10"",Mat.:SA-193 B7",36.0,74K20
E503A,,,,
E503B,493060132.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:6"",Serie:150 #, ASME- B16.20,Mat.:316L/Graphité",2.0,30S41
E503B,493062509.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE              Dia.Nom:4"",Serie:400#,ASME-B16.20,Mat.:316/Graphi",2.0,31Q21
E503B,495000203.0,"JOINT METALLOPLASTIQUE,                            Dia.Ext.:29.1/2"",Dia.Int.:28.1/2"",Ep.:1/8""",1.0,55T30
E503B,495000210.0,"JOINT METALLOPLASTIQUE Dia.Ext.:22 7/8"",Dia.Int.:22 1/8"",Ep.:1/8"",Mat.:",1.0,55O40
E503B,495000214.0,"JOINT METALLOPLASTIQUE                           Dia.Ext.:26 1/4"",Dia.Int.:25 1/4"",Ep.:1/8"",Mat.:In",1.0,55Q30
E503B,398500115.0,"BOUCHON DE TUBE (FORME CONIQUE)  Dia.: 3/4""-16 BWG , Mat.: Acier Inox TP-316",10.0,LC6I33
E503B,342501003.0,"TIGE TOTALEMENT FILETEE AVEC 2 ECROUS HEXAG Dia.:1""- 8 UNC,Long.:10"",Mat.:SA-193 B7",36.0,74K20
E503B,342500096.0,"TIGE CYLINDRIQUE,TOTALEMENT FILETEE AVEC 2 ECROUS HEXAG Dia.:3/4""- 10 UNC,Long.:6.1/4"",Mat.:SA-193B7",28.0,73H41
E503B,495000213.0,"JOINT METALLOPLASTIQUE AVEC BARRE CENTRALE 7/16"" Dia.Ext.:26 1/4"",Dia.Int.:25 1/4"",Ep.:1/8"",Mat.:In",2.0,55U40
E503B,,,,
E-505,493060128.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:4"", Serie:150 #, API601, Mat.:Inox.316L/Graphité",1.0,30O44/54
E-505,493060126.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:3"",Serie:150 #, Mat.:Inox.316/Grapité",2.0,30O43
E-505,493060122.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:2"", Serie:150 #, Mat.:316/Graphité",1.0,30O41
E-505,495000410.0,"JOINT METALLOPLASTIQUE AVEC BARRE ,9/16""  Dia.Ext.:34 1/4"",Dia.Int.:33 1/4"",Ep.:1/8"",Mat.:Ac",1.0,54P50
E-505,398500115.0,"BOUCHON DE TUBE (FORME CONIQUE)  Dia.: 3/4""-16 BWG , Mat.: Acier Inox TP-316",20.0,LC6I33
E-505,342500041.0,"TIGE CYLINDRIQUE,TOTALEMENT FILETEE AVEC 2 ECROUS HEXAG Dia.:3/4""-10 UNC,Long.:9 3/4"",Mat.:SA-193 B7",36.0,
E-505,493060132.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:6"",Serie:150 #, ASME- B16.20,Mat.:316L/Graphité",1.0,30S41
E-505,493060304.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:4"", Serie : 300 #, Mat.:316/Graphité",1.0,30T32
E-505,493062114.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:1-1/2"",Serie:150#,API601,Mat:316L/Graphit",4.0,30N44
E-505,495000204.0,"JOINT METALLOPLASTIQUE       Dia.Ext.:34 1/4"",Dia.Int.:33 1/4"",Ep.:1/8"",Mat.:",1.0,55R40
E-505,453170200.0,TAMIS CONTRE LES ENTRAINEMENTS,1.0,M2D30-40
E-505,,,,
E-506,493062542.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom:20"",Serie:400#,ASME- B16.20,Mat:316/Graph",2.0,M2Q20-40
E-506,493062114.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:1-1/2"",Serie:150#,API601,Mat:316L/Graphit",2.0,30N44
E-506,493060136.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:10"",Serie:150 #, API601,  Mat.316L/Graphité",1.0,30T40
E-506,493060126.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:3"",Serie:150 #, Mat.:Inox.316/Grapité",2.0,30O43
E-506,493060122.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:2"", Serie:150 #, Mat.:316/Graphité",2.0,30O41
E-506,493060108.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:1/2"", Serie:150 #, API601, Mat.:Inox.316/Graphité",2.0,30N41
E-506,342500074.0,"TIGE CYLINDRIQUE,TOTALEMENT FILETEE AVEC 2 ECROUS HEXAG Dia.:1/2""-13 UNC,Long.:2.3/4"",Mat.:SA-193B7",8.0,73E23
E-506,342500073.0,"TIGE CYLINDRIQUE,TOTALEMENT FILETEE AVEC 2 ECROUS HEXAG   Dia.:1.1/8""-8UNC,Long.:8.1/2"",Mat:SA-193B7",64.0,
E-506,342500013.0,"TIGE CYLINDRIQUE,TOTALEMENT FILETEE AVEC 2 ECROUS HEXAGON Dia.:5/8""-11 UNC,Long.:3"",Mat.: SA-193 B7",8.0,
E-506,495000008.0,"JOINT METALLOPLASTIQUE Dia.Ext.:27 1/2"",Dia.Int.:26 1/2"",Ep.:1/8"",Mat.:Mo",2.0,55S30
E-506,,,,
G-502,493060111.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE   Dia.Nom.:3/4"",Serie :150 #,ASME- B16.20,Mat.: 316/Graphité",1.0,30N42
G-502,493060132.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:6"",Serie:150 #, ASME- B16.20,Mat.:316L/Graphité",1.0,30S41
G-502,493060128.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:4"", Serie:150 #, API601, Mat.:Inox.316L/Graphité",1.0,30O44/54
G-502,493060122.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:2"", Serie:150 #, Mat.:316/Graphité",3.0,30O41
G-502,,,,
G-507,493060150.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom:20"",Série:150#, API601, Mat.:316L/Graphité  .316L",1.0,M2B10-40
G-507,493060132.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:6"",Serie:150 #, ASME- B16.20,Mat.:316L/Graphité",1.0,30S41
G-507,493060128.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:4"", Serie:150 #, API601, Mat.:Inox.316L/Graphité",2.0,30O44/54
G-507,493060126.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:3"",Serie:150 #, Mat.:Inox.316/Grapité",1.0,30O43
G-507,493060317.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom:2"",S/N:300/400/600 #,Mat:316/Graphité",6.0,30S31
G-507,493060122.0,"JOINT SPIRALE AVEC ANNEAU DE CENTRAGE Dia.Nom.:2"", Serie:150 #, Mat.:316/Graphité",4.0,30O41
G-507,,,,
G-507,,,,
E-03.15,586011002.0,"JOINT Dia.Int.:1-13/32"" , Dia.Ext.:1-19/32"" , Ep :1/16"", Matiére.:Acier au Carbone",1.0,51V24A
